Name,Artist,Popularity,Length,Release,Date_Added
Knee Socks, Arctic Monkeys, 79, 4.29, 2013, 2023-12
Like a Stone, Audioslave, 81, 4.9, 2002, 2023-12
I Am the Highway, Audioslave, 68, 5.58, 2002, 2023-12
Father Time (feat. Sampha), Kendrick Lamar, 74, 3.71, 2022, 2023-12
Carvel, John Frusciante, 42, 6.25, 2004, 2023-12
Omission, John Frusciante, 45, 4.55, 2004, 2023-12
Wednesday's Song, John Frusciante, 35, 3.49, 2004, 2023-12
This Cold, John Frusciante, 44, 2.01, 2004, 2023-12
Song To Sing When I'm Lonely, John Frusciante, 53, 3.25, 2004, 2023-12
The Shape I'm Takin', Red Hot Chili Peppers, 56, 3.59, 2022, 2023-12
This Is the Place, Red Hot Chili Peppers, 22, 4.29, 2014, 2023-12
Father Stretch My Hands Pt. 1, Kanye West, 91, 2.27, 2016, 2023-12
Poster Child, Red Hot Chili Peppers, 47, 5.31, 2022, 2023-12
Mercy Mercy Me (The Ecology), The Strokes, 39, 2.63, 2006, 2023-12
Waves - Robin Schulz Radio Edit, Mr. Probz, 2, 3.47, 2014, 2023-12
Little More Love, AJ Tracey, 51, 2.67, 2021, 2023-12
U Know (feat. Kush), Abra Cadabra, 38, 3.67, 2021, 2023-12
Creepin' (with The Weeknd & 21 Savage), Metro Boomin, 91, 3.69, 2022, 2023-12
Feel So Close - Radio Edit, Calvin Harris, 85, 3.44, 2012, 2023-12
Watermelon Sugar, Harry Styles, 89, 2.9, 2019, 2023-12
Dani California, Red Hot Chili Peppers, 83, 4.7, 2006, 2023-12
Snow (Hey Oh), Red Hot Chili Peppers, 83, 5.58, 2006, 2023-12
Charlie, Red Hot Chili Peppers, 61, 4.63, 2006, 2023-12
Stadium Arcadium, Red Hot Chili Peppers, 64, 5.25, 2006, 2023-12
Hump de Bump, Red Hot Chili Peppers, 59, 3.55, 2006, 2023-12
She's Only 18, Red Hot Chili Peppers, 57, 3.42, 2006, 2023-12
Slow Cheetah, Red Hot Chili Peppers, 59, 5.33, 2006, 2023-12
Torture Me, Red Hot Chili Peppers, 55, 3.74, 2006, 2023-12
Strip My Mind, Red Hot Chili Peppers, 60, 4.32, 2006, 2023-12
Especially in Michigan, Red Hot Chili Peppers, 55, 4.01, 2006, 2023-12
Warlocks, Red Hot Chili Peppers, 51, 3.43, 2006, 2023-12
Wet Sand, Red Hot Chili Peppers, 68, 5.16, 2006, 2023-12
Hey, Red Hot Chili Peppers, 57, 5.66, 2006, 2023-12
Desecration Smile, Red Hot Chili Peppers, 58, 5.03, 2006, 2023-12
Tell Me Baby, Red Hot Chili Peppers, 69, 4.13, 2006, 2023-12
